country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Somalia,359,358,358,358,361,366,372,381,391,397,402,407,417,427,437,447,456,467,477,486,498,508,525,537,553,569,586
South Africa,1700,1740,1860,1830,1930,1910,2050,2330,2430,2570,2780,2810,2890,3010,3130,3250,3360,3390,3390,3460,3570,3610,3570,3610,3710,3790,3830
South Korea,1340,1360,1390,1440,1480,1520,1570,1620,1690,1780,1860,1950,2040,2110,2190,2250,2300,2360,2450,2520,2580,2600,2650,2710,2770,2830,2890
South Sudan,155,154,155,156,157,160,165,167,175,182,187,186,188,196,206,215,227,238,248,260,271,282,300,319,339,359,376
Spain,5750,5830,5900,6030,6100,6140,6120,6150,6190,6180,6150,6170,6200,6260,6260,6310,6340,6390,6420,6460,6490,6580,6670,6670,6630,6700,6790
Sri Lanka,473,485,506,540,573,601,629,663,693,717,730,741,757,779,809,842,880,908,945,984,1010,1020,1040,1050,1070,1090,1100
St. Lucia,10.9,11.2,11.5,11.6,11.7,12,12,12.2,12.2,12.3,12.8,13.3,13.5,13.8,14.1,14,14.5,15.2,15.6,16.2,16.9,17.2,18.1,18.1,18.7,19.3,19.7
St. Vincent and the Grenadines,8.99,9.4,9.81,10.1,10.5,10.8,11,11.2,11,11.2,11.7,11.9,11.9,12,12.2,12.3,12.2,12.4,12.8,12.9,13.1,13.5,14.2,14.6,15,15.4,15.5
Sudan,781,820,863,908,952,990,1020,1050,1070,1100,1130,1160,1190,1230,1270,1320,1370,1410,1450,1490,1530,1580,1640,1710,1780,1850,1920
Suriname,18,18.5,19.5,20.7,21.5,21.9,22.5,23.6,24.8,26.4,28,29.5,31.1,32.2,33.2,33.9,34.7,35.6,36.6,37.6,38.9,40.1,41.4,42.9,44.4,45.5,46.5
Swaziland,32.2,33,33,31.9,31,31.5,30.9,30.9,33,36.2,41.9,45,49.1,49.8,51.2,52.9,52.2,51.4,50.2,49.7,49.3,48.6,49,49.8,50.1,50,50.4
Sweden,1660,1670,1670,1680,1680,1690,1690,1670,1690,1710,1720,1720,1710,1710,1750,1730,1700,1690,1690,1650,1620,1620,1650,1660,1660,1700,1720
Switzerland,1670,1650,1630,1620,1610,1600,1540,1510,1470,1450,1460,1460,1470,1450,1410,1400,1420,1430,1430,1440,1460,1450,1460,1440,1410,1430,1460
Syria,187,195,203,216,229,241,254,266,279,290,295,299,305,316,323,331,346,367,394,417,440,444,447,449,451,458,465
Tajikistan,129,130,134,134,135,135,135,135,136,139,143,148,151,155,159,162,167,173,177,179,181,182,184,187,192,198,205
Tanzania,690,712,747,779,825,866,893,933,979,988,984,967,955,985,997,1020,1040,1080,1110,1150,1180,1230,1280,1360,1430,1510,1560
Thailand,1930,2000,2090,2150,2220,2290,2370,2460,2610,2930,3250,3530,3800,4040,4140,4280,4450,4560,4640,4740,4860,4950,5020,5110,5200,5250,5300
